dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
ceylon,junit,0.3,5432.0,87.0,3846.0,3846.0,84.0,3485.0,0.0,0.317,0.425,0.678,0.793,0.851,0.92,0.943,0.966,0.966,0.966,0.966,11538.0,11647.379,13917.0,0.815,0.087,0.966,0.143,0.001,0.145,0.9655172413793104,0.7080265095729014,6,1000.0
ceylon,junit,0.4,5432.0,87.0,2841.0,2841.0,80.0,2377.0,0.0,0.0,0.425,0.575,0.724,0.874,0.92,0.92,0.92,0.92,0.92,0.92,8523.0,8939.943,13624.031,0.783,0.064,0.92,0.078,0.006,0.085,0.9195402298850575,0.5230117820324006,6,1000.0
ceylon,junit,0.5,5432.0,87.0,3478.0,3478.0,82.0,3275.0,0.0,0.0,0.46,0.609,0.816,0.92,0.92,0.931,0.931,0.931,0.931,0.931,10434.0,10658.598,14097.75,0.809,0.079,0.943,0.117,0.003,0.121,0.9425287356321839,0.6402798232695139,6,1000.0
ceylon,junit,1.0,5432.0,87.0,3846.0,3846.0,86.0,3703.0,0.0,0.425,0.471,0.609,0.816,0.908,0.943,0.966,0.989,0.989,0.989,0.989,11538.0,11574.46,11538.0,0.821,0.06,0.989,0.143,0.0,0.143,0.9885057471264368,0.7080265095729014,6,1000.0
ceylon,mct,0.1,6091.0,23.0,1105.0,1105.0,10.0,809.0,0.0,0.0,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,3315.0,8951.348,13284.565,0.416,0.02,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
ceylon,mct,0.2,6091.0,23.0,2089.0,2089.0,13.0,1345.0,0.0,0.0,0.391,0.478,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,6267.0,9747.0,14255.367,0.528,0.032,0.565,0.078,0.189,0.267,0.5652173913043478,0.342965030372681,6,1000.0
ceylon,mct,0.3,6091.0,23.0,1105.0,1105.0,12.0,533.0,0.0,0.0,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,3315.0,8084.217,13277.262,0.502,0.03,0.522,0.022,0.229,0.25,0.5217391304347826,0.18141520275816778,6,1000.0
ceylon,mct,0.4,6091.0,23.0,1232.0,1232.0,10.0,690.0,0.0,0.0,0.348,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3696.0,9188.783,13411.627,0.418,0.027,0.435,0.027,0.319,0.347,0.43478260869565216,0.2022656378263011,6,1000.0
ceylon,mct,0.5,6091.0,23.0,3144.0,3144.0,14.0,1912.0,0.0,0.0,0.391,0.435,0.522,0.609,0.609,0.609,0.609,0.609,0.609,0.609,9432.0,11738.348,15302.977,0.539,0.037,0.609,0.176,0.153,0.329,0.6086956521739131,0.5161714004268593,6,1000.0
ceylon,mct,1.0,6091.0,23.0,3478.0,3478.0,16.0,2423.0,0.0,0.0,0.391,0.522,0.652,0.696,0.696,0.696,0.696,0.696,0.696,0.696,10434.0,12024.522,15578.344,0.618,0.084,0.696,0.216,0.093,0.308,0.6956521739130435,0.5710064028895091,6,1000.0
