dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
broadleaf,junit,0.4,5432.0,87.0,3859.0,2860.0,87.0,3217.0,0.408,0.514,0.621,0.816,0.885,0.943,0.977,1.0,1.0,1.0,1.0,1.0,9579.0,9579.0,9579.0,0.889,0.26,1.0,0.144,0.0,0.144,1.0,0.710419734904271,1.0,110,1.05
broadleaf,junit,0.5,5432.0,87.0,3598.0,2860.0,84.0,2808.0,0.0,0.511,0.598,0.747,0.782,0.92,0.954,0.966,0.966,0.966,0.966,0.966,9318.0,9444.483,12069.0,0.859,0.231,0.966,0.125,0.001,0.127,0.9655172413793104,0.6623711340206185,1.0,110,1.05
broadleaf,junit,1.0,5432.0,87.0,3402.0,2860.0,83.0,2492.0,0.0,0.491,0.586,0.69,0.793,0.839,0.954,0.954,0.954,0.954,0.954,0.954,9122.0,9308.667,12674.5,0.835,0.233,0.954,0.112,0.002,0.114,0.9540229885057471,0.6262886597938144,1.0,110,1.05
broadleaf,mct,0.1,6091.0,23.0,3991.0,2970.0,21.0,3252.0,0.0,0.0,0.478,0.565,0.609,0.652,0.696,0.913,0.913,0.913,0.913,0.913,9931.0,10296.217,12031.0,0.725,0.07,0.913,0.284,0.008,0.291,0.9130434782608695,0.6552290264324413,1.0,110,1.05
broadleaf,mct,0.2,6091.0,23.0,6053.0,2970.0,23.0,4572.0,0.249,0.2,0.478,0.565,0.609,0.609,0.652,0.826,0.826,1.0,1.0,1.0,11993.0,11993.0,11993.0,0.717,0.072,1.0,0.653,0.0,0.653,1.0,0.993761287144968,1.0,110,1.05
broadleaf,mct,0.3,6091.0,23.0,4410.0,2970.0,20.0,3875.0,0.0,0.0,0.522,0.652,0.652,0.652,0.652,0.652,0.87,0.87,0.87,0.87,10350.0,10788.522,12871.5,0.704,0.054,0.87,0.346,0.017,0.364,0.8695652173913043,0.7240190444918733,1.0,110,1.05
broadleaf,mct,0.4,6091.0,23.0,3047.0,2970.0,13.0,1435.0,0.0,0.0,0.478,0.522,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,8987.0,11633.957,15063.109,0.539,0.04,0.565,0.165,0.189,0.354,0.5652173913043478,0.5002462649811197,1.0,110,1.05
broadleaf,mct,0.5,6091.0,23.0,4821.0,2970.0,21.0,4405.0,0.0,0.0,0.522,0.609,0.652,0.652,0.652,0.826,0.87,0.87,0.87,0.87,10761.0,10981.87,12031.0,0.711,0.034,0.913,0.414,0.008,0.422,0.9130434782608695,0.7914956493186669,1.0,110,1.05
broadleaf,mct,1.0,6091.0,23.0,5216.0,2970.0,22.0,4941.0,0.0,0.139,0.522,0.609,0.652,0.652,0.826,0.826,0.913,0.913,0.913,0.913,11156.0,11232.087,11156.0,0.746,0.036,0.957,0.485,0.002,0.487,0.9565217391304348,0.8563454276801838,1.0,110,1.05
ceylon,junit,0.1,5432.0,87.0,3178.0,2860.0,82.0,1902.0,0.0,0.0,0.793,0.851,0.862,0.943,0.943,0.943,0.943,0.943,0.943,0.943,8898.0,9157.08,13124.25,0.891,0.311,0.943,0.098,0.003,0.101,0.9425287356321839,0.5850515463917526,1.0,110,1.05
ceylon,junit,0.2,5432.0,87.0,2987.0,2860.0,78.0,1041.0,0.0,0.0,0.747,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,8707.0,9212.862,13577.898,0.863,0.309,0.897,0.086,0.011,0.097,0.896551724137931,0.5498895434462445,1.0,110,1.05
ceylon,junit,0.3,5432.0,87.0,3191.0,2860.0,81.0,1923.0,0.0,0.0,0.782,0.805,0.897,0.931,0.931,0.931,0.931,0.931,0.931,0.931,8911.0,9220.103,13252.938,0.879,0.288,0.931,0.099,0.005,0.103,0.9310344827586207,0.5874447717231223,1.0,110,1.05
ceylon,junit,0.4,5432.0,87.0,3252.0,2860.0,82.0,2109.0,0.0,0.0,0.736,0.851,0.908,0.943,0.943,0.943,0.943,0.943,0.943,0.943,8972.0,9222.575,13059.5,0.885,0.276,0.943,0.102,0.003,0.106,0.9425287356321839,0.5986745213549337,1.0,110,1.05
ceylon,junit,0.5,5432.0,87.0,3328.0,2860.0,81.0,2274.0,0.0,0.0,0.77,0.862,0.874,0.897,0.931,0.931,0.931,0.931,0.931,0.931,9048.0,9338.207,13124.5,0.87,0.254,0.931,0.107,0.005,0.112,0.9310344827586207,0.6126656848306333,1.0,110,1.05
ceylon,junit,1.0,5432.0,87.0,3666.0,2860.0,84.0,2936.0,0.0,0.513,0.724,0.816,0.874,0.943,0.954,0.966,0.966,0.966,0.966,0.966,9386.0,9507.793,12035.0,0.884,0.227,0.966,0.13,0.001,0.131,0.9655172413793104,0.6748895434462445,1.0,110,1.05
ceylon,mct,0.1,6091.0,23.0,6091.0,2970.0,23.0,6010.0,0.013,-0.036,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.783,1.0,12031.0,12031.0,12031.0,0.697,0.285,1.0,0.661,0.0,0.661,1.0,1.0,1.0,110,1.05
ceylon,mct,0.2,6091.0,23.0,2999.0,2970.0,17.0,698.0,0.0,0.0,0.565,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,8939.0,10552.217,14929.75,0.711,0.297,0.739,0.16,0.068,0.228,0.7391304347826086,0.49236578558528976,1.0,110,1.05
ceylon,mct,0.3,6091.0,23.0,2970.0,2970.0,12.0,548.0,0.0,0.0,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,8910.0,11895.304,15145.904,0.516,0.205,0.522,0.157,0.229,0.386,0.5217391304347826,0.4876046626169759,1.0,110,1.05
ceylon,mct,0.4,6091.0,23.0,6078.0,2970.0,23.0,5851.0,0.039,-0.01,0.609,0.609,0.652,0.652,0.652,0.696,0.696,0.696,0.826,0.826,12018.0,12018.0,12018.0,0.681,0.177,1.0,0.658,0.0,0.658,1.0,0.9978657034969627,1.0,110,1.05
ceylon,mct,0.5,6091.0,23.0,3095.0,2970.0,16.0,1485.0,0.0,0.0,0.609,0.652,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,9035.0,10858.652,14933.375,0.669,0.218,0.696,0.171,0.093,0.263,0.6956521739130435,0.5081267443769496,1.0,110,1.05
ceylon,mct,1.0,6091.0,23.0,5311.0,2970.0,20.0,5068.0,0.0,0.0,0.522,0.565,0.609,0.696,0.696,0.696,0.696,0.783,0.783,0.783,11251.0,11454.478,12421.0,0.677,0.192,0.87,0.503,0.017,0.52,0.8695652173913043,0.8719422098177639,1.0,110,1.05
elasticsearch,junit,0.1,5432.0,87.0,4312.0,2860.0,85.0,3871.0,0.0,0.41,0.69,0.805,0.839,0.851,0.931,0.966,0.966,0.966,0.966,0.966,10032.0,10083.494,11152.0,0.875,0.23,0.977,0.18,0.001,0.181,0.9770114942528736,0.7938144329896907,1.0,110,1.05
elasticsearch,junit,0.2,5432.0,87.0,3792.0,2860.0,83.0,3118.0,0.0,0.376,0.655,0.782,0.839,0.897,0.92,0.954,0.954,0.954,0.954,0.954,9512.0,9662.805,12382.0,0.863,0.191,0.954,0.139,0.002,0.141,0.9540229885057471,0.6980854197349042,1.0,110,1.05
elasticsearch,junit,0.3,5432.0,87.0,4039.0,2860.0,84.0,3500.0,0.0,0.315,0.632,0.805,0.828,0.851,0.897,0.92,0.966,0.966,0.966,0.966,9759.0,9855.069,11848.5,0.85,0.178,0.966,0.158,0.001,0.159,0.9655172413793104,0.7435567010309279,1.0,110,1.05
elasticsearch,junit,0.4,5432.0,87.0,4092.0,2860.0,85.0,3568.0,0.0,0.308,0.655,0.805,0.828,0.839,0.897,0.92,0.977,0.977,0.977,0.977,9812.0,9873.609,11152.0,0.852,0.175,0.977,0.162,0.001,0.163,0.9770114942528736,0.7533136966126657,1.0,110,1.05
